graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(microsecond)
nos7.txt,729,1944,0.00732601,25,4.9725e+06
sequence,[ 447 544 290 527 374 212 436 341 430 670 288 24 474 599 396 564 170 61 66 326 4 9 651 649 ]
nos7.txt,729,1944,0.00732601,25,4.93996e+06
sequence,[ 447 544 290 527 374 212 436 341 430 670 288 24 474 599 396 564 170 61 66 326 4 9 651 649 ]
